mode,Final Selected Actions,Accuracy,AUC,TP,TN,FP,FN,Precision,Recall,F1,FP + FN
simple_ph,"3, 4, 7, 8, 14, 18, 19, 21, 23, 24, 32, 33, 34, 35, 36, 40, 44, 45, 47, 48",0.9117427075542259,0.8761701003697834,1182.0,37.0,80.0,38.0,0.64,0.71,0.67,118
simple,"0, 1, 2, 3, 4, 5, 6, 9, 12, 13, 14, 15, 16, 19, 20, 24, 27, 28, 32, 41",0.9109947643979057,0.8579503433703116,1186.0,32.0,76.0,43.0,0.63,0.68,0.65,119
sph2,"2, 3, 34, 36, 6, 10, 11, 12, 14, 15, 17, 19, 21, 23, 56, 26",0.9080029917726253,0.8605758055995774,1176.0,38.0,86.0,37.0,0.64,0.72,0.67,123
sph2,"0, 1, 32, 35, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 17, 20, 22, 24",0.8990276738967838,0.8578394083465399,1169.0,33.0,93.0,42.0,0.61,0.68,0.64,135
sph2,"1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 20, 22, 24, 29, 47, 48, 59",0.9020194465220643,0.8605758055995774,1167.0,39.0,95.0,36.0,0.63,0.72,0.66,131
sph2,"0, 2, 3, 4, 5, 34, 8, 42, 11, 13, 14, 16, 18, 19, 20, 21, 55, 59",0.8960359012715033,0.8623349181193873,1161.0,37.0,101.0,38.0,0.62,0.71,0.65,139
sph2,"0, 1, 2, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 17, 20, 21, 26, 29, 33",0.912490650710546,0.887770734284205,1179.0,41.0,83.0,34.0,0.65,0.74,0.68,117
sph2,"0, 1, 2, 3, 4, 5, 6, 10, 11, 12, 14, 15, 16, 17, 18, 20, 24, 33, 40, 48",0.912490650710546,0.870972002113048,1183.0,37.0,79.0,38.0,0.64,0.72,0.67,117
sph2,"1, 33, 34, 4, 5, 6, 35, 8, 10, 11, 13, 14, 17, 20, 26, 29, 31",0.9020194465220643,0.8465187533016376,1168.0,38.0,94.0,37.0,0.63,0.72,0.66,131
sph2,"0, 34, 4, 5, 9, 10, 11, 13, 14, 15, 17, 20, 21, 24, 26, 29, 31",0.9020194465220643,0.8465187533016376,1168.0,38.0,94.0,37.0,0.63,0.72,0.66,131
sph2,"1, 2, 3, 4, 5, 7, 8, 10, 12, 15, 17, 18, 20, 21, 23, 26, 29, 31, 32, 39",0.9117427075542259,0.8714157422081352,1182.0,37.0,80.0,38.0,0.64,0.71,0.67,118
sph2,"0, 1, 2, 4, 5, 6, 10, 11, 12, 13, 14, 15, 17, 20, 21, 22, 24, 32, 40",0.912490650710546,0.8911463285789751,1181.0,39.0,81.0,36.0,0.65,0.73,0.68,117
sph2,"0, 3, 4, 7, 8, 9, 11, 12, 13, 18, 19, 23, 24, 27, 28, 35, 36, 44, 47",0.9035153328347045,0.8467194928684628,1175.0,33.0,87.0,42.0,0.62,0.69,0.64,129
